Nome, Idade, PRs, ultima atualização, razão de issues, linguagem principal
 moby, 11,  19529, 09/03/2024,  0.87, Go
 netdata, 11,  8034, 09/03/2024,  0.97, C
 Front-End-Checklist, 6,  173, 09/03/2024,  0.99, None
 node, 1,  86, 09/03/2024,  0.95, Shell
 elasticsearch, 14,  61966, 09/03/2024,  0.88, Java
 Microsoft-Activation-Scripts, 4,  3, 09/03/2024,  0.99, Batchfile
 reveal.js, 13,  396, 09/03/2024,  0.70, JavaScript
 flask, 14,  1543, 09/03/2024,  1.00, Python
 mermaid, 9,  1970, 09/03/2024,  0.69, JavaScript
 swift, 8,  47116, 09/03/2024,  0.57, C++
 awesome-interview-questions, 8,  175, 09/03/2024,  0.54, None
 ML-For-Beginners, 3,  354, 09/03/2024,  0.00, HTML
 hello-algo, 1,  670, 09/03/2024,  0.90, Java
 code-server, 5,  1427, 09/03/2024,  0.91, TypeScript
 stable-diffusion, 2,  5, 09/03/2024,  0.27, Jupyter Notebook
 webpack, 12,  4535, 09/03/2024,  0.98, JavaScript
 supabase, 4,  7956, 09/03/2024,  0.95, TypeScript
 vite, 4,  4139, 09/03/2024,  0.94, TypeScript
 ChatGPT-Next-Web, 1,  543, 09/03/2024,  0.94, TypeScript
 github-readme-stats, 4,  1079, 09/03/2024,  0.91, JavaScript
 redis, 15,  3679, 09/03/2024,  0.69, C
 cs-video-courses, 7,  138, 09/03/2024,  1.00, None
 express, 15,  275, 09/03/2024,  0.97, JavaScript
 nest, 7,  6023, 09/03/2024,  0.99, TypeScript
 Chart.js, 11,  2932, 09/03/2024,  0.95, JavaScript
 protobuf, 10,  4940, 09/03/2024,  0.91, C++
 awesome-machine-learning, 10,  820, 09/03/2024,  1.00, Python
 devops-exercises, 4,  261, 09/03/2024,  0.72, Python
 funNLP, 6,  14, 09/03/2024,  0.68, Python
 awesome-for-beginners, 8,  335, 09/03/2024,  0.81, None
 gpt4all, 1,  455, 09/03/2024,  0.75, C++
 33-js-concepts, 6,  236, 09/03/2024,  0.79, JavaScript
 interviews, 7,  42, 09/03/2024,  0.42, Java
 resume.github.com, 13,  84, 09/03/2024,  0.52, JavaScript
 awesome-react, 10,  775, 09/03/2024,  0.95, None
 the-algorithm, 1,  2, 09/03/2024,  0.73, Scala
 rustdesk, 3,  2345, 09/03/2024,  0.98, Rust
 keras, 9,  3233, 09/03/2024,  0.98, Python
 ansible, 12,  37723, 09/03/2024,  0.98, Python
 redux, 9,  1660, 09/03/2024,  0.98, TypeScript
 playwright, 4,  12050, 09/03/2024,  0.94, TypeScript
 atom, 12,  3937, 09/03/2024,  0.94, JavaScript
 socket.io, 14,  425, 09/03/2024,  0.97, TypeScript
 grafana, 10,  40124, 09/03/2024,  0.89, TypeScript
 markdown-here, 12,  20, 08/03/2024,  0.50, JavaScript
 sway, 3,  2694, 09/03/2024,  0.76, Rust
 HowToCook, 4,  483, 09/03/2024,  0.43, Shell
 hoppscotch, 5,  1364, 09/03/2024,  0.79, TypeScript
 strapi, 8,  7663, 09/03/2024,  0.94, TypeScript
 architect-awesome, 6,  49, 09/03/2024,  0.31, None
 javascript-questions, 5,  324, 09/03/2024,  0.98, None
 nocode, 6,  1, 09/03/2024,  0.14, Dockerfile
 angular.js, 14,  789, 08/03/2024,  0.96, JavaScript
 v2rayN, 5,  126, 09/03/2024,  1.00, C#
 jquery, 15,  692, 09/03/2024,  0.97, JavaScript
 cpython, 7,  40608, 09/03/2024,  0.90, Python
 Front-end-Developer-Interview-Questions, 12,  471, 09/03/2024,  0.79, Nunjucks
 lodash, 12,  577, 09/03/2024,  0.99, JavaScript
 syncthing, 10,  2485, 09/03/2024,  0.94, Go
 echarts, 11,  1268, 09/03/2024,  0.88, TypeScript
 fzf, 10,  441, 09/03/2024,  0.89, Go
 shadowsocks-windows, 11,  278, 09/03/2024,  0.94, C#
 scikit-learn, 14,  11777, 09/03/2024,  0.85, Python
 awesome-public-datasets, 9,  188, 09/03/2024,  0.42, None
 superset, 9,  12052, 09/03/2024,  0.94, TypeScript
 whisper, 1,  95, 09/03/2024,  0.00, Python
 tesseract, 10,  1342, 09/03/2024,  0.85, C++
 Ventoy, 4,  261, 09/03/2024,  0.70, C
 manim, 9,  565, 09/03/2024,  0.65, Python
 Apollo-11, 10,  324, 09/03/2024,  0.84, Assembly
 Java, 8,  1186, 09/03/2024,  0.99, Java
 PayloadsAllTheThings, 7,  508, 09/03/2024,  0.00, Python
 html5-boilerplate, 14,  744, 09/03/2024,  0.99, JavaScript
 Best-websites-a-programmer-should-visit, 7,  399, 09/03/2024,  0.61, None
 system-design-101, 0,  21, 09/03/2024,  0.28, None
 design-resources-for-developers, 4,  884, 09/03/2024,  1.00, None
 awesome-nodejs, 10,  405, 09/03/2024,  0.99, None
 gatsby, 9,  18066, 09/03/2024,  0.99, JavaScript
 d2l-zh, 7,  1020, 09/03/2024,  0.00, Python
 spring-framework, 13,  823, 09/03/2024,  0.99, Java
 rails, 16,  22967, 09/03/2024,  0.97, Ruby
 openai-cookbook, 2,  461, 09/03/2024,  0.92, MDX
 obs-studio, 10,  4434, 09/03/2024,  0.88, C
 imgui, 10,  336, 09/03/2024,  0.85, C++
 awesome-cpp, 10,  671, 09/03/2024,  0.40, None
 gpt4free, 1,  452, 09/03/2024,  0.91, Python
 tabby, 7,  1443, 09/03/2024,  0.64, TypeScript
 element, 8,  3229, 09/03/2024,  0.86, Vue
 leetcode, 6,  256, 09/03/2024,  0.96, JavaScript
 awesome-courses, 9,  194, 09/03/2024,  0.51, None
 DeepLearning-500-questions, 6,  302, 09/03/2024,  0.43, JavaScript
 caddy, 9,  1806, 09/03/2024,  0.97, Go
 SecLists, 12,  559, 09/03/2024,  0.92, PHP
 gpt_academic, 1,  142, 09/03/2024,  0.85, Python
 llama.cpp, 1,  1969, 09/03/2024,  0.56, C++
 awesome-scalability, 6,  32, 09/03/2024,  0.00, None
 prometheus, 11,  5866, 09/03/2024,  0.86, Go
 docusaurus, 7,  4965, 09/03/2024,  0.91, TypeScript
 alacritty, 8,  1743, 09/03/2024,  0.95, Rust
 react-router, 10,  2061, 09/03/2024,  0.99, TypeScript
 normalize.css, 13,  56, 09/03/2024,  0.91, CSS
 localstack, 7,  4570, 09/03/2024,  0.94, Python
 ui, 1,  296, 09/03/2024,  0.65, TypeScript
 face_recognition, 7,  94, 09/03/2024,  0.44, Python
 requests, 13,  1532, 09/03/2024,  0.95, Python
 nuxt, 7,  4431, 09/03/2024,  0.93, TypeScript
 Semantic-UI, 11,  356, 09/03/2024,  0.84, JavaScript
 fuel-core, 4,  869, 09/03/2024,  0.78, Rust
 llama, 1,  47, 09/03/2024,  0.67, Python
 awesome-flutter, 7,  420, 09/03/2024,  0.00, Dart
 scrapy, 14,  2096, 09/03/2024,  0.85, Python
 ionic-framework, 11,  5472, 09/03/2024,  0.98, TypeScript
 nerd-fonts, 9,  419, 09/03/2024,  0.95, CSS
 Real-Time-Voice-Cloning, 5,  48, 09/03/2024,  0.83, Python
 sherlock, 5,  532, 09/03/2024,  0.92, Python
 new-pac, 8,  0, 09/03/2024,  0.75, None
 material-design-icons, 9,  44, 09/03/2024,  0.79, None
 gpt-engineer, 1,  277, 09/03/2024,  0.94, Python
 guava, 10,  491, 09/03/2024,  0.82, Java
 git, 16,  3, 09/03/2024,  0.00, C
 you-get, 12,  572, 09/03/2024,  0.00, Python
 awesome-chatgpt-prompts-zh, 1,  30, 09/03/2024,  0.59, None
 act, 5,  867, 09/03/2024,  0.82, Go
 faceswap, 6,  354, 09/03/2024,  0.98, Python
 awesome-android-ui, 9,  90, 09/03/2024,  0.88, None
 anime, 8,  72, 09/03/2024,  0.72, JavaScript
 privateGPT, 1,  139, 09/03/2024,  0.87, Python
 jekyll, 15,  3123, 09/03/2024,  0.98, Ruby
 bulma, 8,  611, 09/03/2024,  0.91, CSS
 prettier, 7,  7908, 09/03/2024,  0.83, JavaScript
 tldr, 10,  9995, 09/03/2024,  0.88, Markdown
 moment, 13,  714, 09/03/2024,  0.95, JavaScript
 rustlings, 8,  793, 09/03/2024,  0.77, Rust
 RxJava, 11,  3180, 09/03/2024,  1.00, Java
 kotlin, 12,  2054, 09/03/2024,  0.00, Kotlin
 AppFlowy, 3,  2229, 09/03/2024,  0.70, Dart
 hacker-scripts, 8,  63, 09/03/2024,  0.49, JavaScript
 traefik, 8,  3995, 09/03/2024,  0.89, Go
 uptime-kuma, 3,  1031, 09/03/2024,  0.81, JavaScript
 openpilot, 7,  9137, 09/03/2024,  0.92, Python
 DefinitelyTyped, 11,  48957, 09/03/2024,  0.93, TypeScript
 rich, 4,  738, 09/03/2024,  0.86, Python
 ghidra, 5,  408, 09/03/2024,  0.70, Java
 pi-hole, 10,  1794, 09/03/2024,  0.99, Shell
 chinese-poetry, 8,  134, 09/03/2024,  0.46, JavaScript
 ChatGPT, 1,  119, 09/03/2024,  0.36, Rust
 serverless, 9,  4506, 09/03/2024,  0.82, JavaScript
 cypress, 9,  5895, 09/03/2024,  0.90, JavaScript
 leetcode-master, 4,  1990, 09/03/2024,  0.29, Shell
 etcd, 11,  8327, 09/03/2024,  0.97, Go
 algorithm-visualizer, 8,  183, 09/03/2024,  0.67, JavaScript
 ollama, 1,  804, 09/03/2024,  0.64, Go
 drawio-desktop, 7,  19, 09/03/2024,  0.87, JavaScript
 big-list-of-naughty-strings, 9,  90, 09/03/2024,  0.34, Python
 bypass-paywalls-chrome, 6,  132, 09/03/2024,  1.00, JavaScript
 yolov5, 4,  2068, 09/03/2024,  0.99, Python
 bat, 6,  1270, 09/03/2024,  0.83, Rust
 pdf.js, 13,  6994, 09/03/2024,  0.96, JavaScript
 mastodon, 8,  13925, 09/03/2024,  0.66, Ruby
 dayjs, 6,  682, 09/03/2024,  0.52, JavaScript
 awesome-ios, 10,  2212, 09/03/2024,  1.00, Swift
 Ghost, 11,  10330, 09/03/2024,  0.99, JavaScript
 go-ethereum, 10,  6976, 09/03/2024,  0.97, Go
 okhttp, 12,  3327, 09/03/2024,  0.97, Kotlin
 project-layout, 6,  79, 09/03/2024,  0.40, Makefile
 github-cheat-sheet, 10,  129, 09/03/2024,  0.70, None
 mkcert, 6,  52, 09/03/2024,  0.71, Go
 learn-regex, 7,  124, 09/03/2024,  0.41, None
 DeepFaceLab, 6,  32, 09/03/2024,  0.60, Python
 annotated_deep_learning_paper_implementations, 4,  92, 09/03/2024,  0.73, Jupyter Notebook
 v2ray-core, 9,  203, 09/03/2024,  1.00, Go
 professional-programming, 8,  36, 09/03/2024,  1.00, Python
 julia, 13,  22983, 09/03/2024,  0.84, Julia
 meteor, 12,  2075, 09/03/2024,  0.97, JavaScript
 screenshot-to-code, 0,  31, 09/03/2024,  0.67, TypeScript
 gogs, 10,  1650, 09/03/2024,  0.83, Go
 marktext, 6,  937, 09/03/2024,  0.60, JavaScript
 Projects, 11,  19, 09/03/2024,  0.46, None
 ripgrep, 8,  492, 09/03/2024,  0.95, Rust
 trackerslist, 8,  1, 09/03/2024,  0.99, None
 core, 6,  2371, 09/03/2024,  0.85, TypeScript
 react, 6,  351, 09/03/2024,  0.99, JavaScript
 architecture-samples, 8,  222, 09/03/2024,  0.72, Kotlin
 lazygit, 6,  1216, 09/03/2024,  0.67, Go
 AdminLTE, 10,  1469, 09/03/2024,  0.96, Astro
 awesome-wechat-weapp, 7,  276, 09/03/2024,  0.00, None
 minio, 9,  9083, 09/03/2024,  1.00, Go
 jest, 10,  5433, 09/03/2024,  0.96, TypeScript
 TensorFlow-Examples, 8,  88, 09/03/2024,  0.30, Jupyter Notebook
 design-patterns-for-humans, 7,  49, 09/03/2024,  0.94, None
 parcel, 7,  2351, 09/03/2024,  0.88, JavaScript
 rclone, 10,  1744, 09/03/2024,  0.84, Go
 Magisk, 8,  1384, 09/03/2024,  1.00, C++
 PowerShell, 8,  6732, 09/03/2024,  0.93, C#
 dive, 6,  141, 09/03/2024,  0.53, Go
 x64dbg, 9,  671, 09/03/2024,  0.76, C++
 segment-anything, 1,  16, 09/03/2024,  0.25, Jupyter Notebook
 babel, 9,  5604, 09/03/2024,  0.93, TypeScript
 build-web-application-with-golang, 12,  757, 09/03/2024,  0.61, Go
 100-Days-Of-ML-Code, 6,  6, 09/03/2024,  0.00, None
 retrofit, 14,  930, 09/03/2024,  0.95, Java
 hyper, 8,  3246, 09/03/2024,  0.77, TypeScript
 Motrix, 5,  192, 09/03/2024,  0.45, JavaScript
 uBlock, 9,  231, 09/03/2024,  1.00, JavaScript
 meilisearch, 6,  1572, 09/03/2024,  0.93, Rust
 hackingtool, 4,  55, 09/03/2024,  0.89, Python
 Prompt-Engineering-Guide, 1,  249, 09/03/2024,  0.50, MDX
 cs-self-learning, 2,  222, 09/03/2024,  0.50, HTML
 pixijs, 11,  3233, 09/03/2024,  0.96, TypeScript
 powerlevel10k, 5,  152, 09/03/2024,  0.99, Shell
 first-contributions, 7,  68693, 09/03/2024,  0.98, None
 awesome-rust, 10,  1300, 09/03/2024,  0.92, Rust
 joplin, 7,  2918, 09/03/2024,  0.94, TypeScript
 git-flight-rules, 10,  221, 09/03/2024,  0.75, None
 open-interpreter, 1,  200, 09/03/2024,  0.72, Python
 pandas, 14,  24865, 09/03/2024,  0.86, Python
 FFmpeg, 13,  16, 09/03/2024,  0.00, C
 yarn, 8,  1653, 09/03/2024,  0.72, JavaScript
 CppCoreGuidelines, 9,  798, 09/03/2024,  0.79, Python
 nocodb, 6,  2816, 09/03/2024,  0.83, TypeScript
 gitea, 7,  14821, 09/03/2024,  0.81, Go
 hiring-without-whiteboards, 7,  1249, 09/03/2024,  0.00, JavaScript
 PythonDataScienceHandbook, 8,  28, 09/03/2024,  0.40, Jupyter Notebook
 zustand, 5,  597, 09/03/2024,  1.00, TypeScript
 astro, 3,  5400, 09/03/2024,  0.98, TypeScript
 terraform, 10,  11348, 09/03/2024,  0.91, Go
 huginn, 11,  980, 09/03/2024,  0.71, Ruby
 vue2-elm, 7,  21, 09/03/2024,  0.82, Vue
 30-Days-Of-JavaScript, 4,  98, 09/03/2024,  0.40, JavaScript
 frontend-dev-bookmarks, 11,  129, 09/03/2024,  0.80, None
 zx, 3,  122, 09/03/2024,  0.84, JavaScript
 Alamofire, 10,  626, 09/03/2024,  0.99, Swift
 pm2, 11,  543, 09/03/2024,  0.83, JavaScript
 grpc, 9,  19183, 09/03/2024,  0.95, C++
 weekly, 5,  81, 09/03/2024,  0.19, None
 nw.js, 12,  573, 08/03/2024,  0.88, JavaScript
 discourse, 11,  22619, 09/03/2024,  0.00, Ruby
 styled-components, 8,  937, 09/03/2024,  0.92, TypeScript
 react-use, 5,  1498, 09/03/2024,  0.43, TypeScript
 dubbo, 12,  4975, 09/03/2024,  0.87, Java
 appwrite, 5,  2612, 09/03/2024,  0.83, TypeScript
 awesome-react-components, 8,  316, 09/03/2024,  0.90, None
 starship, 5,  2543, 09/03/2024,  0.75, Rust
 front-end-interview-handbook, 6,  247, 09/03/2024,  0.90, MDX
 Leaflet, 13,  2939, 09/03/2024,  0.92, JavaScript
 edex-ui, 7,  399, 09/03/2024,  0.99, JavaScript
 awesome-java, 10,  677, 09/03/2024,  0.99, None
 json, 11,  702, 09/03/2024,  0.97, C++
 fuels-rs, 2,  679, 09/03/2024,  0.90, Rust
 type-challenges, 4,  531, 09/03/2024,  0.11, TypeScript
 n8n, 5,  5695, 09/03/2024,  0.89, TypeScript
 uni-app, 6,  237, 09/03/2024,  0.79, JavaScript
 fuels-ts, 3,  995, 09/03/2024,  0.89, TypeScript
 python-patterns, 12,  262, 09/03/2024,  0.87, Python
 react-hook-form, 5,  1897, 09/03/2024,  1.00, TypeScript
 open-source-mac-os-apps, 6,  522, 09/03/2024,  0.76, None
 query, 4,  1933, 09/03/2024,  0.98, TypeScript
 materialize, 9,  449, 08/03/2024,  0.88, JavaScript
 vuetify, 7,  3738, 09/03/2024,  0.95, TypeScript
 brew, 8,  10331, 09/03/2024,  0.99, Ruby
 quill, 12,  339, 09/03/2024,  0.70, TypeScript
 open-source-ios-apps, 9,  1038, 09/03/2024,  1.00, None
 fastlane, 9,  6134, 08/03/2024,  0.97, Ruby
 Rocket.Chat, 9,  11806, 09/03/2024,  0.84, TypeScript
 jadx, 11,  452, 09/03/2024,  0.77, Java
 what-happens-when, 10,  108, 09/03/2024,  0.19, None
 ChatGLM-6B, 1,  48, 09/03/2024,  0.58, Python
 hexo, 11,  893, 09/03/2024,  0.98, TypeScript
 swiper, 12,  561, 09/03/2024,  0.98, JavaScript
 kubernetes-the-hard-way, 8,  69, 09/03/2024,  0.76, None
 drawio, 8,  36, 09/03/2024,  0.88, JavaScript
 spark, 10,  6, 09/03/2024,  0.00, Scala
 monaco-editor, 8,  409, 09/03/2024,  0.88, JavaScript
 ailearning, 7,  477, 09/03/2024,  0.98, Python
 impress.js, 12,  120, 08/03/2024,  0.89, JavaScript
 jeecg-boot, 5,  41, 09/03/2024,  0.99, Java
 cheat.sh, 7,  122, 09/03/2024,  0.52, Python
 Deep-Learning-Papers-Reading-Roadmap, 7,  28, 09/03/2024,  0.09, Python
 MPAndroidChart, 10,  190, 09/03/2024,  0.59, Java
 kong, 9,  5409, 09/03/2024,  0.99, Lua
 php-src, 13,  2181, 09/03/2024,  0.79, C
 black, 6,  1404, 09/03/2024,  0.86, Python
 video.js, 14,  1696, 09/03/2024,  0.91, JavaScript
 PaddleOCR, 4,  2286, 09/03/2024,  0.88, Python
 esbuild, 8,  228, 09/03/2024,  0.88, Go
 awesome-cheatsheets, 6,  163, 09/03/2024,  0.64, JavaScript
 freecodecamp.cn, 7,  55, 08/03/2024,  0.76, CSS
 ColossalAI, 2,  3135, 09/03/2024,  0.77, Python
 bert, 5,  32, 09/03/2024,  0.31, Python
 tabler, 6,  462, 09/03/2024,  0.93, HTML
 prisma, 5,  5076, 09/03/2024,  0.71, TypeScript
 sentry, 14,  48804, 09/03/2024,  0.82, Python
 wrk, 12,  0, 09/03/2024,  0.65, C
 Open-Assistant, 1,  1616, 09/03/2024,  0.86, Python
 styleguide, 9,  155, 09/03/2024,  0.39, HTML
 dbeaver, 8,  4447, 09/03/2024,  0.88, Java
 manifesto, 1,  760, 09/03/2024,  0.46, HTML
 chakra-ui, 5,  2257, 09/03/2024,  0.93, MDX
 free, 4,  0, 09/03/2024,  0.29, None
 CPlusPlusThings, 5,  64, 09/03/2024,  0.97, C++
 phaser, 11,  1651, 09/03/2024,  0.99, JavaScript
 metabase, 9,  19750, 09/03/2024,  0.79, Clojure
 interview_internal_reference, 5,  35, 09/03/2024,  0.40, Python
 iina, 7,  610, 09/03/2024,  0.56, Swift
 reactjs-interview-questions, 6,  135, 09/03/2024,  0.91, JavaScript
 preact, 8,  1593, 09/03/2024,  0.91, JavaScript
 alist, 3,  512, 09/03/2024,  0.97, Go
 tidb, 9,  27219, 09/03/2024,  0.79, Go
 acme.sh, 8,  1276, 09/03/2024,  0.68, Shell
 pyenv, 12,  841, 09/03/2024,  0.98, Roff
 slate, 10,  297, 09/03/2024,  0.92, SCSS
 tutorials, 11,  11199, 09/03/2024,  0.98, Java
 pure-bash-bible, 6,  28, 09/03/2024,  0.43, Shell
 ant-design-pro, 7,  959, 09/03/2024,  1.00, TypeScript
 lx-music-desktop, 5,  30, 09/03/2024,  0.66, TypeScript
 zju-icicles, 8,  205, 09/03/2024,  0.89, HTML
 cobra, 11,  568, 09/03/2024,  0.84, Go
 awesome-design-patterns, 6,  30, 09/03/2024,  0.33, None
 lerna, 8,  933, 09/03/2024,  0.87, TypeScript
 v, 5,  10050, 09/03/2024,  0.89, V
 stablediffusion, 1,  18, 09/03/2024,  0.24, Python
 Made-With-ML, 5,  147, 09/03/2024,  0.86, Jupyter Notebook
 og-aws, 8,  498, 09/03/2024,  0.38, Shell
 JavaFamily, 4,  2, 09/03/2024,  0.98, None
 python-cheatsheet, 6,  14, 09/03/2024,  0.92, Python
 gorm, 10,  686, 09/03/2024,  0.95, Go
 deeplearningbook-chinese, 7,  16, 09/03/2024,  0.68, TeX
 fullPage.js, 10,  301, 09/03/2024,  0.96, JavaScript
 wtfpython, 7,  97, 09/03/2024,  0.66, Python
 cli, 4,  2002, 09/03/2024,  0.87, Go
 MetaGPT, 1,  425, 09/03/2024,  0.46, Python
 koa, 11,  475, 09/03/2024,  0.96, JavaScript
 leveldb, 10,  61, 09/03/2024,  0.72, C++
 English-level-up-tips, 7,  24, 09/03/2024,  0.72, HTML
 hackathon-starter, 10,  323, 08/03/2024,  0.99, JavaScript
 Docker-OSX, 4,  98, 09/03/2024,  0.45, Shell
 shellcheck, 11,  274, 09/03/2024,  0.63, Haskell
 shadowsocks-android, 11,  252, 09/03/2024,  0.98, Kotlin
 istio, 7,  24329, 09/03/2024,  0.97, Go
 lottie-android, 7,  656, 09/03/2024,  1.00, Java
 nativefier, 9,  261, 09/03/2024,  0.79, TypeScript
 hello-algorithm, 4,  26, 09/03/2024,  0.78, Java
 fanqiang, 9,  3, 09/03/2024,  0.59, Kotlin
 DragGAN, 1,  18, 09/03/2024,  0.25, Python
 vim, 9,  334, 09/03/2024,  0.83, Vim Script
 taro, 6,  3021, 09/03/2024,  0.90, TypeScript
